Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 1;CARCHI;TULCAN;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;06-02-16;FLAGRANTE;HOMBRE;21;COLOMBIA
ZONA 1;CARCHI;TULCAN;HERIDAS/LESIONES;07-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;CARCHI;TULCAN;HURTO;08-02-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 1;CARCHI;TULCAN;HURTO;08-02-16;FLAGRANTE;MUJER;47;ECUADOR
ZONA 1;CARCHI;TULCAN;ROBO A INSTITUCIONES PUBLICAS;09-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;CARCHI;TULCAN;TENTATIVA DE ROBO;10-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;CARCHI;TULCAN;ACOSO SEXUAL;13-02-16;BOLETA;HOMBRE;19;ECUADOR
ZONA 1;CARCHI;TULCAN;DELITO ADUANERO;11-02-16;FLAGRANTE;HOMBRE;41;ECUADOR
ZONA 1;CARCHI;TULCAN;HURTO;14-02-16;FLAGRANTE;MUJER;36;COLOMBIA
ZONA 1;CARCHI;TULCAN;ASOCIACION ILICITA;17-02-16;BOLETA;HOMBRE;50;COLOMBIA
ZONA 1;CARCHI;TULCAN;MICROTRAFICO;17-02-16;BOLETA;HOMBRE;21;ECUADOR
ZONA 1;CARCHI;TULCAN;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;16-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;CARCHI;TULCAN;MICROTRAFICO;18-02-16;BOLETA;HOMBRE;23;ECUADOR
ZONA 1;CARCHI;TULCAN;Estafa;19-02-16;BOLETA;HOMBRE;34;ECUADOR
ZONA 1;CARCHI;TULCAN;Estafa;19-02-16;FLAGRANTE;HOMBRE;65;ECUADOR
ZONA 1;CARCHI;TULCAN;VIOLACION;20-02-16;BOLETA;HOMBRE;30;ECUADOR
ZONA 1;CARCHI;TULCAN;VARIOS;20-02-16;FLAGRANTE;MUJER;21;COLOMBIA
ZONA 1;CARCHI;TULCAN;ROBO A MOTOS;19-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;CARCHI;TULCAN;REBELION Y ATENTADO;21-02-16;FLAGRANTE;HOMBRE;20;COLOMBIA
ZONA 1;CARCHI;TULCAN;REBELION Y ATENTADO;21-02-16;FLAGRANTE;HOMBRE;30;COLOMBIA
ZONA 1;CARCHI;TULCAN;REBELION Y ATENTADO;21-02-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 1;CARCHI;TULCAN;REBELION Y ATENTADO;21-02-16;FLAGRANTE;HOMBRE;19;COLOMBIA
ZONA 1;CARCHI;TULCAN;REBELION Y ATENTADO;21-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;CARCHI;TULCAN;REBELION Y ATENTADO;21-02-16;FLAGRANTE;HOMBRE;41;ECUADOR
ZONA 1;CARCHI;TULCAN;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;22-02-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 1;CARCHI;TULCAN;VIOLACION;25-02-16;BOLETA;HOMBRE;43;COLOMBIA
ZONA 1;CARCHI;TULCAN;Estafa;24-02-16;BOLETA;MUJER;36;ECUADOR
ZONA 1;CARCHI;TULCAN;TENTATIVA ASESINATO/HOMICIDIO;27-02-16;BOLETA;HOMBRE;32;ECUADOR
ZONA 1;CARCHI;TULCAN;ROBO DOMICILIO;26-02-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 1;CARCHI;TULCAN;FALSIFICACION;29-02-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;CARCHI;TULCAN;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;27-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;CARCHI;TULCAN;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;27-02-16;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 1;CARCHI;TULCAN;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;27-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;CARCHI;TULCAN;Estafa;27-02-16;FLAGRANTE;HOMBRE;40;ECUADOR
ZONA 1;CARCHI;TULCAN;Estafa;27-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;CARCHI;ESPEJO;VARIOS;01-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;CARCHI;MONTUFAR;HURTO;05-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;CARCHI;MONTUFAR;HURTO;05-02-16;FLAGRANTE;HOMBRE;29;COLOMBIA
ZONA 1;CARCHI;MONTUFAR;HURTO;05-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;CARCHI;MONTUFAR;VARIOS;09-02-16;FLAGRANTE;HOMBRE;39;COLOMBIA
ZONA 1;CARCHI;MONTUFAR;RECEPTACION;13-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;CARCHI;MONTUFAR;VARIOS;14-02-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 1;CARCHI;ESPEJO;VIOLACION;16-02-16;FLAGRANTE;HOMBRE;36;COLOMBIA
ZONA 1;CARCHI;MONTUFAR;VARIOS;17-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;IMBABURA;IBARRA;ASESINATO;18-02-16;BOLETA;MUJER;28;ECUADOR
ZONA 2;PICHINCHA;CAYAMBE;ASESINATO;18-02-16;BOLETA;HOMBRE;50;ECUADOR
ZONA 1;CARCHI;BOLIVAR;TRATA DE PERSONAS;18-02-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 1;CARCHI;BOLIVAR;VARIOS;20-02-16;FLAGRANTE;HOMBRE;44;COLOMBIA
ZONA 1;CARCHI;ESPEJO;ACOSO SEXUAL;24-02-16;FLAGRANTE;HOMBRE;56;ECUADOR
ZONA 1;CARCHI;MONTUFAR;ABUSO DE CONFIANZA;27-02-16;BOLETA;MUJER;30;ECUADOR
ZONA 1;CARCHI;BOLIVAR;VARIOS;27-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;CARCHI;MONTUFAR;VARIOS;27-02-16;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 1;CARCHI;MONTUFAR;ASESINATO;29-02-16;BOLETA;HOMBRE;35;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A MOTOS;01-02-16;BOLETA;HOMBRE;24;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A MOTOS;01-02-16;FLAGRANTE;HOMBRE;60;ECUADOR
ZONA 1;IMBABURA;IBARRA;FALSIFICACION;02-02-16;BOLETA;HOMBRE;53;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;01-02-16;FLAGRANTE;HOMBRE;59;ECUADOR
ZONA 1;IMBABURA;PIMAMPIRO;HERIDAS/LESIONES;02-02-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;02-02-16;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 1;IMBABURA;IBARRA;PLAGIO O SECUESTRO PERSONAS;02-02-16;BOLETA;HOMBRE;64;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;03-02-16;BOLETA;HOMBRE;25;ECUADOR
ZONA 1;IMBABURA;IBARRA;VARIOS;03-02-16;BOLETA;HOMBRE;26;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;04-02-16;FLAGRANTE;HOMBRE;51;ECUADOR
ZONA 1;IMBABURA;IBARRA;HURTO;07-02-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 1;IMBABURA;IBARRA;HURTO;07-02-16;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 1;IMBABURA;PIMAMPIRO;HERIDAS/LESIONES;07-02-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 1;IMBABURA;IBARRA;HURTO;07-02-16;FLAGRANTE;HOMBRE;36;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;09-02-16;FLAGRANTE;HOMBRE;25;COLOMBIA
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;09-02-16;FLAGRANTE;HOMBRE;61;COLOMBIA
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;09-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;IMBABURA;IBARRA;FALSIFICACION;09-02-16;FLAGRANTE;HOMBRE;40;ECUADOR
ZONA 1;IMBABURA;IBARRA;VARIOS;09-02-16;BOLETA;HOMBRE;26;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;10-02-16;FLAGRANTE;HOMBRE;47;ECUADOR
ZONA 1;IMBABURA;IBARRA;HURTO;11-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;IMBABURA;IBARRA;REBELION Y ATENTADO;11-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;IMBABURA;IBARRA;REBELION Y ATENTADO;12-02-16;BOLETA;HOMBRE;60;ECUADOR
ZONA 1;IMBABURA;IBARRA;HOMICIDIO;13-02-16;BOLETA;HOMBRE;29;ECUADOR
ZONA 1;IMBABURA;IBARRA;VARIOS;13-02-16;BOLETA;HOMBRE;68;ECUADOR
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;09-02-16;FLAGRANTE;HOMBRE;52;ECUADOR
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;09-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;IMBABURA;COTACACHI;ROBO DOMICILIO;12-02-16;FLAGRANTE;HOMBRE;39;ECUADOR
ZONA 1;IMBABURA;COTACACHI;ROBO DOMICILIO;12-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;IMBABURA;COTACACHI;ROBO DOMICILIO;12-02-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;IMBABURA;COTACACHI;ROBO DOMICILIO;12-02-16;FLAGRANTE;HOMBRE;36;ECUADOR
ZONA 1;IMBABURA;COTACACHI;ROBO DOMICILIO;12-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;IMBABURA;COTACACHI;ROBO DOMICILIO;12-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;IMBABURA;IBARRA;FALSIFICACION;12-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO DOMICILIO;13-02-16;FLAGRANTE;HOMBRE;17;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO DOMICILIO;13-02-16;FLAGRANTE;HOMBRE;16;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO DOMICILIO;17-02-16;FLAGRANTE;HOMBRE;21;COLOMBIA
ZONA 1;IMBABURA;IBARRA;ROBO DOMICILIO;17-02-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;19-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;IMBABURA;IBARRA;VARIOS;18-02-16;FLAGRANTE;HOMBRE;25;PERU
ZONA 1;IMBABURA;IBARRA;DELITO ADUANERO;18-02-16;FLAGRANTE;MUJER;43;ECUADOR
ZONA 1;IMBABURA;IBARRA;DELITO ADUANERO;18-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;IMBABURA;IBARRA;HURTO;18-02-16;FLAGRANTE;HOMBRE;68;ECUADOR
ZONA 1;IMBABURA;IBARRA;DELITO ADUANERO;18-02-16;FLAGRANTE;MUJER;23;ECUADOR
ZONA 1;IMBABURA;IBARRA;DELITO ADUANERO;18-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;IMBABURA;IBARRA;DELITO ADUANERO;18-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;IMBABURA;IBARRA;VARIOS;20-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;IMBABURA;IBARRA;ACOSO SEXUAL;21-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;IMBABURA;IBARRA;MICROTRAFICO;21-02-16;BOLETA;HOMBRE;27;ECUADOR
ZONA 1;IMBABURA;IBARRA;HOMICIDIO;21-02-16;BOLETA;HOMBRE;28;ECUADOR
ZONA 1;IMBABURA;OTAVALO;VARIOS;03-02-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 1;IMBABURA;OTAVALO;VARIOS;05-02-16;FLAGRANTE;HOMBRE;51;ECUADOR
ZONA 1;IMBABURA;OTAVALO;RECEPTACION;06-02-16;FLAGRANTE;MUJER;32;ECUADOR
ZONA 1;IMBABURA;OTAVALO;HURTO;07-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;IMBABURA;OTAVALO;HURTO;06-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;IMBABURA;OTAVALO;RECEPTACION;08-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;IMBABURA;OTAVALO;HURTO;08-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;IMBABURA;OTAVALO;RECEPTACION;08-02-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 1;IMBABURA;OTAVALO;RECEPTACION;08-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;IMBABURA;OTAVALO;VARIOS;19-02-16;FLAGRANTE;HOMBRE;45;ECUADOR
ZONA 1;IMBABURA;IBARRA;HURTO;22-02-16;FLAGRANTE;HOMBRE;36;ECUADOR
ZONA 1;IMBABURA;IBARRA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;22-02-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;22-02-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A MOTOS;22-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;IMBABURA;IBARRA;VARIOS;24-02-16;BOLETA;HOMBRE;30;ECUADOR
ZONA 1;IMBABURA;IBARRA;INTIMIDACION/AMENAZA;25-02-16;BOLETA;HOMBRE;29;ECUADOR
ZONA 1;IMBABURA;IBARRA;INTIMIDACION/AMENAZA;25-02-16;BOLETA;HOMBRE;31;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;25-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;IMBABURA;IBARRA;FALSIFICACION;26-02-16;BOLETA;HOMBRE;52;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;26-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;27-02-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;27-02-16;BOLETA;HOMBRE;40;COLOMBIA
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;27-02-16;BOLETA;MUJER;28;COLOMBIA
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;27-02-16;BOLETA;MUJER;30;COLOMBIA
ZONA 1;IMBABURA;IBARRA;ROBO A PERSONAS;25-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;IMBABURA;IBARRA;ASOCIACION ILICITA;19-02-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 1;IMBABURA;ANTONIO ANTE;ASOCIACION ILICITA;19-02-16;BOLETA;HOMBRE;21;ECUADOR
ZONA 1;IMBABURA;IBARRA;ASOCIACION ILICITA;19-02-16;BOLETA;MUJER;31;ECUADOR
ZONA 1;IMBABURA;IBARRA;ASOCIACION ILICITA;19-02-16;BOLETA;HOMBRE;36;ECUADOR
ZONA 1;IMBABURA;ANTONIO ANTE;ASOCIACION ILICITA;19-02-16;BOLETA;HOMBRE;26;ECUADOR
ZONA 1;IMBABURA;IBARRA;RECEPTACION;26-02-16;FLAGRANTE;HOMBRE;41;COLOMBIA
ZONA 1;IMBABURA;IBARRA;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;25-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;28-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;28-02-16;FLAGRANTE;HOMBRE;16;COLOMBIA
ZONA 1;IMBABURA;IBARRA;HERIDAS/LESIONES;28-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;IMBABURA;COTACACHI;VIOLACION;29-02-16;BOLETA;HOMBRE;38;ECUADOR
ZONA 1;IMBABURA;OTAVALO;HURTO;25-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;IMBABURA;OTAVALO;HURTO;27-02-16;FLAGRANTE;MUJER;36;ECUADOR
ZONA 1;IMBABURA;OTAVALO;VIOLACION;11-02-16;BOLETA;HOMBRE;44;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;02-02-16;BOLETA;HOMBRE;32;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;01-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;01-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;VIOLACION;02-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;02-02-16;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;02-02-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;02-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;03-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENTATIVA DE ROBO;04-02-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;VARIOS;04-02-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;RECEPTACION;05-02-16;FLAGRANTE;MUJER;26;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;05-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;05-02-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;05-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;RECEPTACION;05-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;05-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ASESINATO;05-02-16;BOLETA;HOMBRE;18;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;ASOCIACION ILICITA;05-02-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;ASOCIACION ILICITA;05-02-16;FLAGRANTE;HOMBRE;49;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;ASOCIACION ILICITA;05-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;ASOCIACION ILICITA;05-02-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HOMICIDIO;05-02-16;BOLETA;HOMBRE;36;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;06-02-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;07-02-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;07-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;07-02-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS;07-02-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;07-02-16;FLAGRANTE;HOMBRE;53;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;07-02-16;FLAGRANTE;MUJER;20;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;07-02-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;07-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;07-02-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;09-02-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;10-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENTATIVA ASESINATO/HOMICIDIO;10-02-16;BOLETA;HOMBRE;33;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;10-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;10-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;RECEPTACION;10-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;10-02-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;10-02-16;FLAGRANTE;HOMBRE;33;COLOMBIA
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;11-02-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A UNIDADES ECONOMICAS;11-02-16;FLAGRANTE;MUJER;22;ECUADOR
ZONA 1;ESMERALDAS;ELOY ALFARO;RECEPTACION;11-02-16;FLAGRANTE;MUJER;19;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;11-02-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;TENTATIVA DE VIOLACION;11-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;11-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;DELITO ENERGETICO;12-02-16;FLAGRANTE;HOMBRE;20;COLOMBIA
ZONA 1;ESMERALDAS;RIOVERDE;DELITO ENERGETICO;12-02-16;FLAGRANTE;HOMBRE;25;COLOMBIA
ZONA 1;ESMERALDAS;RIOVERDE;DELITO ENERGETICO;12-02-16;FLAGRANTE;HOMBRE;30;COLOMBIA
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;12-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HERIDAS/LESIONES;12-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;12-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A UNIDADES ECONOMICAS;12-02-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;12-02-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ACOSO SEXUAL;14-02-16;FLAGRANTE;HOMBRE;40;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HURTO;16-02-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO DOMICILIO;18-02-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;18-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;TENTATIVA ASESINATO/HOMICIDIO;19-02-16;FLAGRANTE;MUJER;30;ECUADOR
ZONA 1;ESMERALDAS;RIOVERDE;TENTATIVA ASESINATO/HOMICIDIO;19-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A UNIDADES ECONOMICAS;20-02-16;FLAGRANTE;HOMBRE;28;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;RECEPTACION;20-02-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;RECEPTACION;20-02-16;FLAGRANTE;HOMBRE;25;COLOMBIA
ZONA 1;ESMERALDAS;ESMERALDAS;TENTATIVA ASESINATO/HOMICIDIO;20-02-16;FLAGRANTE;MUJER;21;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENTATIVA ASESINATO/HOMICIDIO;20-02-16;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;20-02-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;19-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;19-02-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;19-02-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;VARIOS;20-02-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;HURTO;20-02-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 1;ESMERALDAS;ESMERALDAS;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;21-02-16;FLAGRANTE;HOMBRE;23;ECUADOR
